0.173912	0.731633	0.659142	3.17	#bbcbff	10Eta Aur
0.217987	0.898678	-0.380604	3.19	#ffdbb3	2Eps Lep
0.224700	0.970386	-0.088658	2.79	#d4dfff	67Bet Eri
0.217510	0.964119	-0.152195	4.27	#bbcbff	69Lam Eri
0.202220	0.957499	-0.205678	4.45	#bbcbff	3Iot Lep
0.202143	0.978083	0.049915	4.46	#ffdbb3	17Rho Ori
0.195831	0.940086	-0.279084	3.31	#bbcbff	5Mu  Lep
0.197505	0.954378	-0.223954	4.36	#bbcbff	4Kap Lep
0.130498	0.682315	0.719316	0.08	#fff6ee	13Alp Aur
0.195050	0.970363	-0.142658	0.12	#bbcbff	19Bet Ori
0.182612	0.975936	-0.119174	3.60	#bbcbff	20Tau Ori
0.170854	0.958564	-0.227954	4.29	#bbcbff	6Lam Lep
0.155212	0.978495	-0.135855	4.14	#fff6ee	29    Ori
0.154245	0.987147	-0.041822	3.36	#bbcbff	28Eta Ori
0.150626	0.982385	0.110597	1.64	#bbcbff	24Gam Ori
0.128660	0.868442	0.478807	1.65	#bbcbff	112Bet Tau
0.129148	0.926115	-0.354445	2.84	#fff6ee	9Bet Lep
0.126445	0.986546	0.103627	4.20	#bbcbff	32    Ori
0.114632	0.940842	0.318867	4.38	#ffd68b	119    Tau
0.121839	0.992536	-0.005221	2.23	#afbfff	34Del Ori
0.102032	0.807997	-0.580285	3.87	#ffdbb3	Eps Col
0.113011	0.945279	-0.306065	2.58	#f9f8ff	11Alp Lep
0.108147	0.980369	0.164866	4.41	#bbcbff	37Phi1Ori
0.106644	0.979217	0.172517	3.54	#afbfff	39Lam Ori
0.106418	0.988976	-0.102966	2.77	#afbfff	44Iot Ori
0.103580	0.994400	-0.020976	1.70	#bbcbff	46Eps Ori
0.099281	0.981876	0.161441	4.09	#ffdbb3	40Phi2Ori
0.090832	0.928253	0.360689	3.00	#bbcbff	123Zet Tau
0.053040	0.458852	-0.886928	3.76	#f9f8ff	Bet Dor
0.092507	0.994678	-0.045363	3.81	#afbfff	48Sig Ori
0.083811	0.995905	-0.033901	2.05	#afbfff	50Zet Ori
0.083804	0.995905	-0.033901	4.21	#bbcbff	50Zet Ori
0.073458	0.825049	-0.560266	2.64	#bbcbff	Alp Col
0.062606	0.922101	-0.381850	3.60	#f9f8ff	13Gam Lep
0.054996	0.965160	-0.255816	3.55	#d4dfff	14Zet Lep
0.052638	0.984386	-0.167968	2.06	#bbcbff	53Kap Ori
0.028789	0.774976	0.631334	3.97	#fff6ee	32Nu  Aur
0.027283	0.410042	-0.911659	4.35	#d4dfff	Del Dor
0.034847	0.627453	-0.777875	3.85	#d4dfff	Bet Pic
0.035371	0.933664	-0.356398	3.81	#ffdbb3	15Del Lep
0.031996	0.810756	-0.584509	3.12	#ffdbb3	Bet Col
0.022993	0.937752	0.346545	4.41	#fff6ee	54Chi1Ori
0.020890	0.991435	0.128916	0.50	#ffd68b	58Alp Ori
0.001206	0.583757	0.811928	3.72	#ffdbb3	33Del Aur
0.015208	0.969464	-0.244762	3.71	#f9f8ff	16Eta Lep
0.001457	0.707753	0.706459	1.90	#d4dfff	34Bet Aur
0.000197	0.695450	0.718575	4.26	#ffd68b	35Pi  Aur
0.000967	0.796397	0.604773	2.62	#d4dfff	37The Aur
0.008774	0.816259	-0.577620	4.36	#bbcbff	Gam Col
0.002731	0.733544	-0.679637	3.96	#ffdbb3	Eta Col
-0.010252	0.985804	0.167586	4.12	#d4dfff	61Mu  Ori
-0.016515	0.918551	0.394958	4.16	#fff6ee	1    Gem
-0.031940	0.966437	0.254911	4.42	#bbcbff	67Nu  Ori
-0.050481	0.968092	0.245458	4.48	#bbcbff	70Xi  Ori
-0.059925	0.921889	0.382791	3.28	#ffd68b	7Eta Gem
-0.058359	0.868414	0.492394	4.35	#fff6ee	44Kap Aur
-0.064384	0.991922	-0.109296	3.98	#ffdbb3	5Gam Mon
-0.044031	0.512990	0.857265	4.48	#d4dfff	2    Lyn
-0.059006	0.815611	-0.575584	4.37	#ffdbb3	Kap Col
-0.076610	0.862075	-0.500957	3.02	#bbcbff	1Zet CMa
-0.092392	0.919157	0.382903	2.88	#ffd68b	13Mu  Gem
-0.094069	0.946632	-0.308284	1.98	#bbcbff	2Bet CMa
-0.080394	0.830617	-0.551011	3.85	#fff6ee	Del Col
-0.103191	0.991433	0.080073	4.44	#d4dfff	8Eps Mon
-0.063222	0.602740	-0.795429	-0.72	#f9f8ff	Alp Car
-0.118279	0.930936	0.345498	4.15	#bbcbff	18Nu  Gem
-0.103306	0.836284	-0.538477	4.48	#bbcbff	Lam CMa
-0.141905	0.981617	0.127637	4.50	#d4dfff	13    Mon
-0.127134	0.908778	-0.397441	4.33	#bbcbff	4Xi 1CMa
-0.157143	0.946360	0.282328	1.93	#d4dfff	24Gam Gem
-0.150462	0.931988	-0.329787	3.95	#ffdbb3	7Nu 2CMa
-0.091541	0.595157	-0.798379	4.39	#d4dfff	HR2435
-0.156307	0.936817	-0.312957	4.43	#ffdbb3	8Nu 3CMa
-0.119574	0.719142	-0.684498	3.17	#bbcbff	Nu  Pup
-0.172482	0.888756	0.424691	2.98	#fff6ee	27Eps Gem
-0.185698	0.955592	0.228823	4.49	#ffdbb3	30    Gem
-0.191379	0.955807	0.223175	3.36	#f9f8ff	31Xi  Gem
-0.187454	0.939218	-0.287630	-1.46	#d4dfff	9Alp CMa
-0.207131	0.977408	0.042089	4.47	#ffdbb3	18    Mon
-0.181957	0.823447	-0.537426	3.96	#bbcbff	13Kap CMa
-0.189357	0.807512	0.558630	3.60	#d4dfff	34The Gem
-0.098178	0.460014	-0.882467	3.27	#d4dfff	Alp Pic
-0.137167	0.619529	-0.772897	2.93	#ffdbb3	Tau Pup
-0.128005	0.579129	-0.805124	4.40	#fff6ee	HR2554
-0.129507	0.507384	0.851933	4.35	#fff6ee	15    Lyn
-0.229100	0.950795	-0.208571	4.07	#ffdbb3	14The CMa
-0.213467	0.886908	-0.409667	3.87	#ffdbb3	16Omi1CMa
-0.231837	0.927492	-0.293276	4.37	#bbcbff	20Iot CMa
-0.221355	0.846388	-0.484386	1.50	#bbcbff	21Eps CMa
-0.235054	0.851640	-0.468465	3.47	#ffdbb3	22Sig CMa
-0.258489	0.899851	0.351356	3.79	#f9f8ff	43Zet Gem
-0.248389	0.880355	-0.404077	3.02	#bbcbff	24Omi2CMa
-0.264464	0.925980	-0.269480	4.12	#bbcbff	23Gam CMa
-0.263359	0.856174	-0.444531	1.84	#f9f8ff	25Del CMa
-0.263868	0.822592	0.503703	4.41	#ffdbb3	46Tau Gem
-0.308445	0.951203	-0.008601	4.15	#d4dfff	22Del Mon
-0.098643	0.318918	-0.942635	3.78	#ffdbb3	Gam2Vol
-0.213287	0.651014	-0.728484	4.49	#f9f8ff	HR2740
-0.286286	0.845655	-0.450453	3.85	#bbcbff	28Ome CMa
-0.320362	0.903504	0.284689	3.58	#d4dfff	54Lam Gem
-0.263435	0.752850	-0.603173	2.70	#ffdbb3	Pi  Pup
-0.317624	0.871206	0.374319	3.53	#f9f8ff	55Del Gem
-0.305278	0.853704	-0.421893	4.40	#afbfff	30Tau CMa
-0.123470	0.354407	-0.926904	3.98	#f9f8ff	Del Vol
-0.323224	0.823430	0.466357	3.79	#fff6ee	60Iot Gem
-0.312850	0.813993	-0.489429	2.45	#bbcbff	31Eta CMa
-0.367287	0.918866	0.144174	2.90	#bbcbff	3Bet CMi
-0.322248	0.786586	0.526725	4.18	#f9f8ff	62Rho Gem
